8/15/2014,The Expendables 3,100000000,39322544
11/27/2002,Treasure Planet,100000000,38120554
3/12/2010,Green Zone,100000000,35053660
4/18/2014,Transcendence,100000000,23022309
2/18/2005,Son of the Mask,100000000,17018422
4/3/1998,The Spanish Prisoner,100000000,10162034
8/16/2002,The Adventures of Pluto Nash,100000000,4411102
12/21/2011,Jin líng shí san chai,100000000,311434
5/4/2001,The Mummy Returns,98000000,202007640
12/20/2002,Gangs of New York,97000000,77730500
10/21/2016,Jack Reacher 2,96000000,0
3/13/2015,Cinderella,95000000,201151353
7/13/2012,Ice Age: Continental Drift,95000000,161321843
12/28/2001,Black Hawk Down,95000000,108638745
5/27/2010,Sex and the City 2,95000000,95347692
2/12/2010,Percy Jackson & the Olympians: The Lightning Thief,95000000,88768303
11/12/2010,Unstoppable,95000000,81562942
5/9/1997,The Fifth Element,95000000,63540020
3/31/2000,The Road to El Dorado,95000000,50802661
12/11/2009,The Lovely Bones,95000000,44028238
2/6/2015,Seventh Son,95000000,17223265
5/30/2003,Finding Nemo,94000000,380529370
12/17/2003,The Lord of the Rings: The Return of the King,94000000,377845905
12/18/2002,The Lord of the Rings: The Two Towers,94000000,342548984
6/15/2001,Lara Croft: Tomb Raider,94000000,131144183
7/18/2001,Jurassic Park III,93000000,181166115
8/5/2011,Rise of the Planet of the Apes,93000000,176760185
2/14/2008,The Spiderwick Chronicles,92500000,71195053
11/5/2004,The Incredibles,92000000,261441092
2/14/2013,A Good Day to Die Hard,92000000,67349198
4/9/2004,The Alamo,92000000,22406362
12/22/1995,Cutthroat Island,92000000,9833397
12/25/2013,The Secret Life of Walter Mitty,91000000,58236838
7/1/1997,Men in Black,90000000,250147615
11/19/1999,Toy Story 2,90000000,245823397
8/3/2001,Rush Hour 2,90000000,226164286
12/25/2009,Sherlock Holmes,90000000,209028679
7/1/2009,Ice Age: Dawn of the Dinosaurs,90000000,196573705
7/21/2000,What Lies Beneath,90000000,155370362
4/15/2011,Rio,90000000,143619809
10/6/2006,The Departed,90000000,132384315
11/3/2000,Charlie's Angels,90000000,125305545
6/19/1998,Mulan,90000000,120618403
8/13/2008,Tropic Thunder,90000000,110461307
12/20/2011,The Girl with the Dragon Tattoo,90000000,102515793
7/11/1997,Contact,90000000,100769177
6/6/2008,You Don't Mess With the Zohan,90000000,100018837
5/19/1995,Die Hard: With a Vengeance,90000000,99983259
6/8/2001,Atlantis: The Lost Empire,90000000,84052762
12/25/2008,Valkyrie,90000000,83077762
6/29/2001,Artificial Intelligence: AI,90000000,78616689
7/24/2015,Pixels,90000000,78202755
11/26/2003,The Haunted Mansion,90000000,75817994
8/4/2000,Hollow Man,90000000,73209340
4/22/2005,The Interpreter,90000000,72515360
8/7/2013,Percy Jackson: Sea of Monsters,90000000,68559554
